x,y,z
0.0971,0.1256,0.299
0.0955,0.1709,0.3443
0.0943,0.1851,0.4373
0.1886,0.1565,0.2606
0.2094,0.2035,0.3317
0.1767,0.1442,0.271
0.1272,0.1733,0.3107
0.1565,0.113,0.2849
0.1408,0.1485,0.929
0.1435,0.2242,0.1998
0.1168,0.0904,0.2844
0.0953,0.1922,0.3913
0.3242,0.1346,0.315
0.2037,0.148,-0.4412
0.1057,0.1343,0.3494
0.1825,0.0821,0.2905
0.0982,0.1858,0.0942
0.0711,0.1578,0.3107
0.2422,0.1007,-0.7189
0.121,0.235,0.3511
0.0648,0.1098,0.3744
0.1427,0.184,0.2985
0.143,0.1382,0.3529
0.1744,-0.8062,0.3813
0.1416,-0.3619,-0.1443
0.2237,-1.0,-0.4046
0.1799,-0.7885,0.6962
0.0892,0.1327,-0.3142
0.0755,0.481,-0.6708
0.3199,0.212,0.3142
0.1339,-0.8673,-0.342
0.2385,0.2396,-0.1884
0.152,0.1399,0.2556
0.0995,-0.9461,0.5016
0.1809,0.1511,0.0314
0.0817,-0.4089,-0.3814
0.1166,0.0878,-0.0139
0.2374,0.1575,0.3501
0.2113,0.1811,0.2508
0.2404,-0.9691,-0.1785
0.1997,-0.8786,-0.3214
0.1505,0.1494,0.3227
0.1525,-0.9845,-0.2043
0.2797,-0.8096,0.3409
0.1335,0.1268,0.2759
0.1923,-0.9314,-0.2235
0.1594,0.1667,0.3322
0.1171,0.1422,0.11
0.1835,0.1481,0.2955
0.1433,0.1066,0.2584
0.1722,-0.4519,-0.2401
0.1378,0.1512,-0.7268
0.1904,0.1048,0.3986
0.163,0.1938,0.3
0.205,0.1608,0.9472
0.1564,0.147,0.2963
0.2063,0.1731,0.3047
0.2203,0.2111,0.3845
0.1551,-0.8592,-0.3921
0.1591,0.1983,-0.3401
0.2222,0.0915,-0.4129
0.187,0.2331,0.3244
0.2655,0.1233,0.6649
-0.0044,0.1376,0.2797
0.1567,0.1047,0.8483
0.1786,-0.37,-0.2389
0.1691,0.2098,-0.5882
0.1581,-0.92,-0.3638
0.2394,0.2046,0.3876
-0.0008,0.144,0.3552
0.036,0.1366,0.34
-0.3369,0.1673,-0.3699
0.146,0.2257,1.0
0.0915,0.1374,0.594
0.2471,0.1348,0.298
0.3045,0.1165,0.0968
0.0971,0.1478,-0.3114
0.176,0.15,-0.6026
0.115,0.119,-0.353
0.1773,0.2269,0.387
0.1595,0.1216,0.3378
0.1022,0.1589,-0.4587
0.1191,0.1769,0.3089
0.2551,0.1635,0.3257
0.2723,-0.8697,0.2955
0.1864,-0.8853,-0.3582
0.1601,0.1265,0.3773
0.1649,0.1199,-0.3811
0.1551,0.167,0.1192
0.1214,0.1502,0.301
0.1363,0.2025,0.3048
0.1303,0.1481,0.6904
0.1792,-0.8111,0.3841
0.2969,-0.8502,-0.4234
0.1635,-0.8028,0.301
0.1576,-0.3816,-0.2206
0.2164,0.1241,0.3183
0.1789,0.1356,0.3183
0.2038,0.1433,-0.0414
0.2039,0.1195,0.457
0.1293,0.1008,-0.4096
0.1266,0.102,0.049
0.1449,-0.8682,-0.245
0.1839,0.081,-0.4217
0.217,0.1409,0.307
0.1457,0.1331,0.2861
0.1476,0.4305,-0.3834
0.1726,0.1195,0.3166
0.1365,-0.8922,0.3234
0.1065,0.1875,0.2679
0.1215,0.1076,0.6278
0.1554,-0.81,-0.2998
0.2701,0.1817,-0.1552
0.0789,0.1086,0.3002
0.2401,0.1666,0.256
-0.0043,0.2463,-0.1316
0.1674,0.0875,0.3312
0.2423,0.2518,0.2965
0.1032,0.134,0.3097
0.1656,0.1342,0.4875
